,Component,Waiting,Interpolation,Sending
1269000,0.265,0.000,0.002,0.000
1271700,0.266,0.000,0.005,0.000
1274400,0.652,0.000,0.001,0.000
1277100,0.261,0.000,0.002,0.000
1279800,0.263,0.000,0.004,0.000
1282500,0.273,0.000,0.003,0.000
1285200,0.458,0.000,0.002,0.000
1287900,0.260,0.000,0.004,0.000
1290600,0.264,0.000,0.002,0.000
1293300,0.259,0.000,0.002,0.000
1296000,0.618,0.000,0.001,0.000
1298700,0.260,0.000,0.002,0.000
1301400,0.269,0.000,0.003,0.000
1304100,0.270,0.000,0.004,0.000
1306800,0.462,0.000,0.003,0.000
1309500,0.259,0.000,0.002,0.000
1312200,0.263,0.000,0.005,0.000
1314900,0.257,0.000,0.002,0.000
1317600,0.527,0.000,0.002,0.000
1320300,0.260,0.000,0.005,0.000
1323000,0.268,0.000,0.002,0.000
1325700,0.259,0.000,0.001,0.000
1328400,0.459,0.000,0.002,0.000
1331100,0.266,0.000,0.001,0.000
1333800,0.263,0.000,0.001,0.000
1336500,0.273,0.000,0.002,0.000
1339200,0.525,0.000,0.005,0.000
1341900,0.261,0.000,0.005,0.000
1344600,0.270,0.000,0.001,0.000
1347300,0.271,0.000,0.001,0.000
1350000,0.468,0.000,0.002,0.000
1352700,0.267,0.000,0.006,0.000
1355400,0.276,0.000,0.002,0.000
1358100,0.264,0.000,0.001,0.000
1360800,0.593,0.000,0.001,0.000
1363500,0.262,0.000,0.002,0.000
1366200,0.263,0.000,0.005,0.000
1368900,0.265,0.000,0.001,0.000
1371600,0.460,0.000,0.002,0.000
1374300,0.266,0.000,0.002,0.000
1377000,0.270,0.000,0.001,0.000
1379700,0.265,0.000,0.002,0.000
1382400,0.539,0.000,0.001,0.000
1385100,0.259,0.000,0.002,0.000
1387800,0.264,0.000,0.002,0.000
1390500,0.257,0.000,0.001,0.000
1393200,0.458,0.000,0.002,0.000
1395900,0.264,0.000,0.001,0.000
1398600,0.262,0.000,0.001,0.000
1401300,0.259,0.000,0.002,0.000
1404000,0.518,0.000,0.001,0.000
1406700,0.257,0.000,0.002,0.000
1409400,0.262,0.000,0.002,0.000
1412100,0.261,0.000,0.002,0.000
1414800,0.461,0.000,0.002,0.000
1417500,0.260,0.000,0.002,0.000
1420200,0.266,0.000,0.002,0.000
1422900,0.259,0.000,0.002,0.000
1425600,0.531,0.000,0.006,0.000
1428300,0.267,0.000,0.002,0.000
1431000,0.274,0.000,0.001,0.000
1433700,0.271,0.000,0.002,0.000
1436400,0.476,0.000,0.001,0.000
1439100,0.271,0.000,0.006,0.000
1441800,0.270,0.000,0.001,0.000
1444500,0.263,0.000,0.002,0.000
1447200,0.544,0.000,0.001,0.000
1449900,0.261,0.000,0.001,0.000
1452600,0.282,0.000,0.001,0.000
1455300,0.259,0.000,0.002,0.000
1458000,0.470,0.000,0.001,0.000
1460700,0.261,0.000,0.001,0.000
1463400,0.262,0.000,0.003,0.000
1466100,0.258,0.000,0.002,0.000
1468800,0.522,0.000,0.015,0.000
1471500,0.258,0.000,0.002,0.000
1474200,0.262,0.000,0.001,0.000
1476900,0.261,0.000,0.002,0.000
1479600,0.514,0.000,0.082,0.000
1482300,0.300,0.000,0.001,0.000
1485000,0.275,0.000,0.025,0.000
1487700,0.261,0.000,0.001,0.000
1490400,0.597,0.000,0.001,0.000
1493100,0.259,0.000,0.002,0.000
1495800,0.267,0.000,0.001,0.000
1498500,0.265,0.000,0.002,0.000
1501200,0.464,0.000,0.002,0.000
1503900,0.264,0.000,0.001,0.000
1506600,0.262,0.000,0.002,0.000
1509300,0.260,0.000,0.001,0.000
1512000,0.612,0.000,0.001,0.000
1514700,0.268,0.000,0.002,0.000
1517400,0.273,0.000,0.001,0.000
1520100,0.270,0.000,0.002,0.000
1522800,0.468,0.000,0.005,0.000
1525500,0.266,0.000,0.001,0.000
1528200,0.268,0.000,0.001,0.000
1530900,0.263,0.000,0.002,0.000
1533600,0.540,0.000,0.003,0.000
1536300,0.260,0.000,0.002,0.000
1539000,0.264,0.000,0.001,0.000
1541700,0.260,0.000,0.002,0.000
1544400,0.460,0.000,0.002,0.000
1547100,0.259,0.000,0.002,0.000
1549800,0.264,0.000,0.002,0.000
1552500,0.258,0.000,0.002,0.000
1555200,0.523,0.000,0.002,0.000
1557900,0.262,0.000,0.001,0.000
1560600,0.267,0.000,0.002,0.000
1563300,0.260,0.000,0.002,0.000
1566000,0.464,0.000,0.004,0.000
1568700,0.266,0.000,0.002,0.000
1571400,0.266,0.000,0.002,0.000
1574100,0.269,0.000,0.002,0.000
